Baseline - Traditional CDN-based System,,,,,NovaGenesis - Named Content Distribution,,,
Image,Size (Bytes),Data Transfer Rate (KB/s),Transfer Time (s),,Image,Size (Bytes),Data Transfer Rate (KB/s),Transfer Time (s)
28,"5,860","11,400",0.514,,28,"5,860",10768.15903,0.544197015
29,"5,870","11,400",0.5149,,29,"5,870",10783.51319,0.544349499
30,"5,910","11,400",0.5184,,30,"5,910",10809.30413,0.5467512
31,"5,830","11,300",0.5159,,31,"5,830",11007.87044,0.529621059
32,"5,870","11,400",0.5149,,32,"5,870",11064.88794,0.530506954
33,"5,840","11,400",0.5123,,33,"5,840",11015.24339,0.530174395
34,"5,840","11,300",0.5168,,34,"5,840",11045.80255,0.528707622
35,"5,900","11,400",0.5175,,35,"5,900",11190.87767,0.527215128
36,"5,800","11,300",0.5133,,36,"5,800",10961.00371,0.529148621
37,"5,840","11,300",0.5168,,37,"5,840",11022.99443,0.529801592
38,"5,860","11,400",0.514,,38,"5,860",11053.75722,0.530136485
39,"5,820","11,300",0.515,,39,"5,820",10958.91253,0.531074592
40,"5,870","11,400",0.5149,,40,"5,870",11083.11204,0.529634635
41,"5,870","11,300",0.5195,,41,"5,870",11124.19382,0.527678688
42,"5,830","11,300",0.5159,,42,"5,830",11017.97786,0.529135207
43,"5,820","11,300",0.515,,43,"5,820",11032.24572,0.52754445
44,"5,860","11,300",0.5186,,44,"5,860",11079.44681,0.528907273
45,"5,860","11,300",0.5186,,45,"5,860",11061.86772,0.529747792
46,"5,850","11,300",0.5177,,46,"5,850",11112.52532,0.526432996
47,"5,840","11,300",0.5168,,47,"5,840",10645.27957,0.548599965
48,"5,840","11,300",0.5168,,48,"5,840",10626.79949,0.549553984
49,"5,890","11,400",0.5167,,49,"5,890",10772.18341,0.546778659
50,"5,850","11,300",0.5177,,50,"5,850",10685.91508,0.547449606
51,"5,830","11,200",0.5205,,51,"5,830",10634.07161,0.548237798
52,"5,850","11,400",0.5132,,52,"5,850",10630.44976,0.550305973
